theme,prompt,done
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Drinking coffee with lifeless eyes at a desk"" | TEXT=""承知いたしました""
P2: ACTION/PROPS=""Crushed in a packed train, staring blankly"" | TEXT=""向かっております""
P3: ACTION/PROPS=""Logging into a computer with a hollow expression"" | TEXT=""おはようございます""
P4: ACTION/PROPS=""Limply adjusting tie with dead eyes"" | TEXT=""行ってまいります""
P5: ACTION/PROPS=""Holding an energy drink like a robot"" | TEXT=""準備万端です""
P6: ACTION/PROPS=""Staring at a clock showing 9 AM"" | TEXT=""業務を開始します""
P7: ACTION/PROPS=""Giving a weak thumbs up with no emotion"" | TEXT=""大丈夫です""
P8: ACTION/PROPS=""Standing perfectly still in an elevator, eyes void"" | TEXT=""移動中です""
P9: ACTION/PROPS=""Staring at a mounting pile of files, expressionless"" | TEXT=""確認します""",1
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Typing meeting minutes with incredible speed, eyes dead"" | TEXT=""記録いたしました""
P2: ACTION/PROPS=""Presenting with a laser pointer, completely disengaged"" | TEXT=""ご説明いたします""
P3: ACTION/PROPS=""Listening to a long speech with a blank stare"" | TEXT=""拝聴しております""
P4: ACTION/PROPS=""Nodding emotionlessly at a ridiculous proposal"" | TEXT=""斬新ですね""
P5: ACTION/PROPS=""Bowing over a phone receiver with void eyes"" | TEXT=""お世話になっております""
P6: ACTION/PROPS=""Standing against a wall during a meeting, looking soul-less"" | TEXT=""参加しております""
P7: ACTION/PROPS=""Waiting for a conference call to connect, expressionless"" | TEXT=""待機中です""
P8: ACTION/PROPS=""Pointing at a graph with zero enthusiasm"" | TEXT=""結果です""
P9: ACTION/PROPS=""Handing over a business card robotically"" | TEXT=""頂戴いたします""",1
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Typing at high speed on a laptop, dark circles under eyes"" | TEXT=""集中しております""
P2: ACTION/PROPS=""Buried under an avalanche of paperwork"" | TEXT=""手一杯です""
P3: ACTION/PROPS=""Staring at a frozen computer screen, eyes void"" | TEXT=""再起動します""
P4: ACTION/PROPS=""Answering two phones simultaneously, expressionless"" | TEXT=""折り返します""
P5: ACTION/PROPS=""Pushing a heavy cart of documents like a zombie"" | TEXT=""運びます""
P6: ACTION/PROPS=""Filing papers into binders with mechanical movements"" | TEXT=""整理しております""
P7: ACTION/PROPS=""Stamping documents repeatedly with dead eyes"" | TEXT=""承認いたしました""
P8: ACTION/PROPS=""Dead eyes staring out from a completely dark office"" | TEXT=""まだ終われません""
P9: ACTION/PROPS=""Holding a massive stack of folders"" | TEXT=""資料です""",1
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Performing a deep 90-degree bow, expression hidden"" | TEXT=""申し訳ございません""
P2: ACTION/PROPS=""Listening to a scolding with a blank, lifeless stare"" | TEXT=""反省しております""
P3: ACTION/PROPS=""Kneeling robotically on the office floor"" | TEXT=""失態でした""
P4: ACTION/PROPS=""Correcting a document typo with a hollow face"" | TEXT=""修正いたしました""
P5: ACTION/PROPS=""Staring blankly at a terrible mistake"" | TEXT=""把握しました""
P6: ACTION/PROPS=""Reviewing documents with a red pen, eyes void"" | TEXT=""見直します""
P7: ACTION/PROPS=""Scratching head with a neutral, empty expression"" | TEXT=""失念しておりました""
P8: ACTION/PROPS=""Hands pressed together in apology, eyes dead"" | TEXT=""ご容赦ください""
P9: ACTION/PROPS=""Giving a weak, robotic salute of apology"" | TEXT=""以後気をつけます""",1
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Eating a convenience store rice ball with void eyes"" | TEXT=""休憩をいただきます""
P2: ACTION/PROPS=""Drinking canned coffee outside, staring blankly"" | TEXT=""リフレッシュしております""
P3: ACTION/PROPS=""Staring at a convenience store bento box"" | TEXT=""栄養を摂ります""
P4: ACTION/PROPS=""Sleeping face-down on a desk with a dead expression"" | TEXT=""仮眠します""
P5: ACTION/PROPS=""Smoking a cigarette outside, looking hollow"" | TEXT=""喫煙中""
P6: ACTION/PROPS=""Looking at a smartphone on a park bench"" | TEXT=""情報収集しております""
P7: ACTION/PROPS=""Buying a drink from a vending machine, robotic"" | TEXT=""水分補給します""
P8: ACTION/PROPS=""Standing still in a sunny spot, eyes lifeless"" | TEXT=""日光浴です""
P9: ACTION/PROPS=""Stretching stiff arms with a hollow face"" | TEXT=""ほぐします""",1
死んだ目のサラリーマン【日常業務編】,"P1: ACTION/PROPS=""Walking towards the office exit with zero energy"" | TEXT=""お先に失礼します""
P2: ACTION/PROPS=""Staring at dark windows in a late-night office"" | TEXT=""残業します""
P3: ACTION/PROPS=""Packing belongings into a bag mechanically"" | TEXT=""帰路に就きます""
P4: ACTION/PROPS=""Waiting for an elevator, looking completely spent"" | TEXT=""終わりました""
P5: ACTION/PROPS=""Sitting on a late-night train, eyes closed tightly"" | TEXT=""お疲れ様でした""
P6: ACTION/PROPS=""Approaching subway ticket gates robotically"" | TEXT=""到着しました""
P7: ACTION/PROPS=""Pointing at a calendar with no emotion"" | TEXT=""明日も来ます""
P8: ACTION/PROPS=""Waving a slow, weak goodbye"" | TEXT=""失礼いたします""
P9: ACTION/PROPS=""Falling into bed while still in a suit"" | TEXT=""良い夢を""",1
死んだ目のサラリーマン【全力謝罪編】,"P1: ACTION/PROPS=""Performing a deep dogeza on the floor with lifeless eyes, dark circles"" | TEXT=""申し訳ございません""
P2: ACTION/PROPS=""Bowing 90 degrees with a hollow expression and empty gaze"" | TEXT=""すみません""
P3: ACTION/PROPS=""Prostrating on the office carpet, eyes wide and lightless"" | TEXT=""深くお詫びします""
P4: ACTION/PROPS=""Head pressed against the desk, eyes open and void, expressionless"" | TEXT=""反省しております""
P5: ACTION/PROPS=""Kneeling on the floor looking at the ground, vacant stare, suit"" | TEXT=""言い訳できません""
P6: ACTION/PROPS=""Sweating profusely while bowing, but eyes remain completely dead"" | TEXT=""面目ない""
P7: ACTION/PROPS=""Deeply bowing while holding a smartphone, mechanical and cold face"" | TEXT=""お詫び申し上げます""
P8: ACTION/PROPS=""Sliding down a wall into a bow, eyes dark and hollow"" | TEXT=""失態でした""
P9: ACTION/PROPS=""Bowing with a blank stare, looking like a corporate robot"" | TEXT=""すぐ直します""",1
死んだ目のサラリーマン【全力謝罪編】,"P1: ACTION/PROPS=""Typing an apology email with a hollow and weary face, dark circles"" | TEXT=""誠心誠意対応します""
P2: ACTION/PROPS=""Bowing deeply to a computer monitor, lifeless eyes, office background"" | TEXT=""リモート謝罪""
P3: ACTION/PROPS=""Holding a giant 'SORRY' sign with an expressionless, void face"" | TEXT=""猛省中""
P4: ACTION/PROPS=""Standing still while being scolded, eyes void and dark, no emotion"" | TEXT=""おっしゃる通りです""
P5: ACTION/PROPS=""Taking notes of a lecture with a numb and blank stare, corporate suit"" | TEXT=""以後気をつけます""
P6: ACTION/PROPS=""Performing a perfect 120-degree bow in a suit, dead eyes"" | TEXT=""全面的に私のミスです""
P7: ACTION/PROPS=""Offering a box of apology sweets with a vacant, soul-less look"" | TEXT=""心ばかりの品です""
P8: ACTION/PROPS=""Writing an apology letter robotically with a hollow gaze"" | TEXT=""始末書書きます""
P9: ACTION/PROPS=""Staring at the floor during a deep bow, expressionless and dark"" | TEXT=""弁明の余地なし""",1
死んだ目のサラリーマン【全力謝罪編】,"P1: ACTION/PROPS=""Sinking into the floor while bowing, lifeless eyes, surreal office"" | TEXT=""地面に埋まります""
P2: ACTION/PROPS=""Head stuck inside the floor tiles, staring blankly with void eyes"" | TEXT=""穴に入りたい""
P3: ACTION/PROPS=""Waving a tiny white flag while in a deep dogeza pose"" | TEXT=""降参""
P4: ACTION/PROPS=""Dogeza under a single spotlight, eyes wide and completely empty"" | TEXT=""万死に値します""
P5: ACTION/PROPS=""Melting into a puddle on the floor during a bow, hollow face"" | TEXT=""溶けてお詫びします""
P6: ACTION/PROPS=""Head stuck inside a giant hole in the floor, expressionless"" | TEXT=""めり込み中""
P7: ACTION/PROPS=""Bowing while being rained on indoors, hollow and dark expression"" | TEXT=""禊です""
P8: ACTION/PROPS=""Carrying a giant wooden cross while bowing, dead eyes, office suit"" | TEXT=""背負います""
P9: ACTION/PROPS=""A tiny character bowing under a giant 'APOLOGY' text block"" | TEXT=""誠に申し訳""",1
死んだ目のサラリーマン【全力謝罪編】,"P1: ACTION/PROPS=""Looking at the viewer with a fake smile and completely dead eyes"" | TEXT=""許してください""
P2: ACTION/PROPS=""Bowing while covering ears with a vacant, neutral expression"" | TEXT=""お叱り拝受します""
P3: ACTION/PROPS=""Floating in a dark void while bowing, eyes lightless and dark"" | TEXT=""無の境地""
P4: ACTION/PROPS=""Giving a robotic salute with a completely empty and hollow face"" | TEXT=""承知、謝罪します""
P5: ACTION/PROPS=""Bowing while a fierce storm blows past, eyes unblinking and dead"" | TEXT=""耐え忍びます""
P6: ACTION/PROPS=""Pointing to a 'SORRY' stamp on the forehead, dark circles, void eyes"" | TEXT=""反省の色アリ""
P7: ACTION/PROPS=""Bowing in a dark corner of the office, hollow gaze, shadow"" | TEXT=""隅っこで謝ります""
P8: ACTION/PROPS=""Offering a stiff, mechanical bow with no emotion, staring forward"" | TEXT=""謝罪済み""
P9: ACTION/PROPS=""Staring blankly forward during a deep, low bow, corporate setting"" | TEXT=""次は頑張ります""",1
死んだ目のサラリーマン【全力謝罪編】,"P1: ACTION/PROPS=""Carrying a mountain of blame on the back, eyes void and dark"" | TEXT=""私のせいです""
P2: ACTION/PROPS=""Bowing while surrounded by corporate flames, dead and cold eyes"" | TEXT=""責任取ります""
P3: ACTION/PROPS=""Sitting in a dark room staring at nothing, hollow face, suit"" | TEXT=""猛省のフリ""
P4: ACTION/PROPS=""A mechanical 120-degree bow with a soul-less look, rigid posture"" | TEXT=""深謝""
P5: ACTION/PROPS=""Handing over a corporate stamp with a vacant and empty stare"" | TEXT=""承認お詫び""
P6: ACTION/PROPS=""Crawling on the office floor with eyes like a zombie, suit"" | TEXT=""低姿勢""
